actor,tipo,modo,justificacion,frase_idx,recorte_id,codigo
un país,colectivo,explícito,"La frase incluye el sustantivo 'un país', que actúa como experienciador del sufrimiento descrito.",290,DISCURSO_002_FR_015,DISCURSO_002
familiares y amigos,colectivo,explícito,"El sujeto de la oración es 'todos sus familiares y amigos', que se menciona directamente.",292,DISCURSO_002_FR_017,DISCURSO_002
empleados públicos,colectivo,explícito,Se menciona explícitamente 'empleados públicos' como una categoría de personas que viven del estado.,292,DISCURSO_002_FR_017,DISCURSO_002
negocios ilegítimos,institucional,explícito,"La frase indica que 'tienen negocios ilegítimos con el estado y las provincias', identificando a los negocios como entidades.",292,DISCURSO_002_FR_017,DISCURSO_002
el estado,institucional,explícito,El estado aparece como fuente de ingresos ('viven del estado') y como contraparte de los negocios.,292,DISCURSO_002_FR_017,DISCURSO_002
las provincias,institucional,explícito,Se menciona 'las provincias' como entidad con la que los negocios tienen relaciones.,292,DISCURSO_002_FR_017,DISCURSO_002
sus familiares y amigos,colectivo,inferido,"El pronombre 'ellos' en la frase se refiere al grupo mencionado en las oraciones previas como 'sus familiares y amigos', quienes viven del estado y tienen negocios ilegítimos.",293,DISCURSO_002_FR_018,DISCURSO_002
el estado,institucional,explícito,El término 'el estado' aparece directamente en la frase como parte del objeto 'la mano ensangrentada del estado'.,294,DISCURSO_002_FR_019,DISCURSO_002
futuros clientes,colectivo,explícito,"La expresión 'sus futuros clientes' se menciona explícitamente en la frase, indicando un grupo de personas.",294,DISCURSO_002_FR_019,DISCURSO_002
pobres,colectivo,explícito,"referido en la frase ""cada pobre""",295,DISCURSO_002_FR_020,DISCURSO_002
ciudadanos honestos,colectivo,explícito,"referido en la frase ""ciudadano honesto""",295,DISCURSO_002_FR_020,DISCURSO_002
pobres,colectivo,inferido,"El pronombre 'los' en la frase se refiere a 'pobres', según el contexto previo donde se menciona que 'cada pobre' es una oportunidad para los kirchneristas.",296,DISCURSO_002_FR_021,DISCURSO_002
cualquier argentino de trabajo,colectivo,explícito,referido directamente en la frase objetivo,297,DISCURSO_002_FR_022,DISCURSO_002
un político,humano_individual,explícito,explicit mention in the phrase,298,DISCURSO_002_FR_023,DISCURSO_002
políticos,colectivo,inferido,"El pronombre 'ellos' en la frase se refiere a los políticos, indicado por la oración previa 'un político no entiende', y actúa como agente del verbo 'quieren hacer creer'.",299,DISCURSO_002_FR_024,DISCURSO_002
la gente,colectivo,inferido,"El complemento directo 'a la gente' indica que la gente es la receptora de la acción de creer, por lo que es un actor experienciador.",299,DISCURSO_002_FR_024,DISCURSO_002
