foria,foria_justificacion,recorte_id,experienciador,tipo_emocion,dominancia,dominancia_justificacion,intensidad,intensidad_justificacion,fuente,tipo_fuente,fuente_justificacion
Eufórico,"El discurso expresa un sentimiento de orgullo y entusiasmo por servir a la patria, lo cual se interpreta como una emoción de tono positivo y alegría, caracterizando así la emoción de patriotismo como eufórica.",DISCURSO_048_FR_016,Presidente Javier Milei,patriotismo,Cognoscitiva,"El discurso expresa una valoración y juicio sobre la dirección y el propósito de la vida en servicio a la patria, sin mencionar manifestaciones físicas o sensaciones corporales. Por lo tanto, la emoción de patriotismo se manifiesta principalmente en el ámbito cognitivo.",Alta,"El discurso emplea una metáfora fuerte (“el norte”) y una llamada directa al servicio de la patria, lo que indica un sentimiento de patriotismo intensamente expresado.",la patria,espacio,"El presidente menciona explícitamente el servicio a la patria, lo que indica que la propia nación (el concepto de patria) es la fuente que provoca el sentimiento de patriotismo."
Eufórico,"El enunciador expresa certeza y confianza, lo que indica un tono positivo y de satisfacción, característico de una emoción eufórica.",DISCURSO_048_FR_017,Presidente Javier Milei,confianza,cognoscitiva,"La expresión ""no tengo duda"" refleja un juicio interno de certeza y confianza, sin indicios de manifestaciones físicas o sensaciones corporales. Por lo tanto, la dominancia de la emoción es cognoscitiva.",Alta,"El enunciador expresa una certeza absoluta con la frase ""no tengo duda"", lo que indica una confianza muy fuerte y una expectativa de éxito. Esta expresión de convicción sin reservas sugiere una intensidad alta de la emoción de confianza.",los graduados,actor,"El presidente expresa su confianza en que, al seguir a los graduados, lograrán que todos los argentinos de bien se sientan orgullosos de ellos. La fuente de esa confianza es la acción futura de los graduados, quienes son los actores que producirán el resultado esperado."
Eufórico,"La expresión de esperanza en el discurso muestra una expectativa positiva y optimista sobre el futuro, lo que se alinea con la tonalidad afectiva eufórica. El hablante transmite entusiasmo y confianza en que los graduados lograrán generar orgullo entre los argentinos, caracterizando así una emoción de tono positivo y alegre.",DISCURSO_048_FR_017,Presidente Javier Milei,esperanza,cognoscitiva,"La expresión de esperanza se manifiesta a través de una expectativa futura y un juicio positivo sobre el resultado (que los graduados harán que los argentinos se sientan orgullosos). No se observan indicios de manifestaciones corporales o sensaciones físicas; la emoción se basa principalmente en la evaluación y el pensamiento, lo que indica una dominancia cognoscitiva.",Alta,"El enunciador expresa una expectativa optimista y segura de que los graduados lograrán que los argentinos se sientan orgullosos, usando la frase ""no tengo duda"" que indica una confianza firme y una actitud esperanzada fuerte. Esta combinación de certeza y optimismo sugiere una intensidad alta de la emoción de esperanza.",los graduados,actor,"El presidente expresa esperanza basada en la expectativa de que los graduados, al cumplir con sus responsabilidades, lograrán que los argentinos se sientan orgullosos. La fuente de la emoción es, por tanto, el grupo de graduados, quienes son los actores que desencadenan la esperanza."
euforico,"El enunciador expresa orgullo al reconocer la importancia del momento histórico, lo que implica una valoración positiva y de satisfacción, caracterizando la emoción como eufórica.",DISCURSO_048_FR_018,Presidente Javier Milei,orgullo,Cognoscitiva,"El enunciado muestra una evaluación cognitiva del momento histórico, reconociendo su significado especial y generando orgullo basado en juicios y pensamientos sobre la importancia del país, sin indicios de manifestaciones corporales.",Alta,"El discurso del presidente Javier Milei reconoce explícitamente que el momento histórico que atraviesa el país “carga nuestras acciones y compromisos de un significado especial”, lo cual implica un reconocimiento profundo de la importancia y el valor del país. Este reconocimiento se traduce en un sentimiento de orgullo que se expresa con fuerza y convicción, típico de una emoción de alta intensidad. Además, el contexto de un discurso presidencial sobre un hito histórico refuerza la intensidad del orgullo expresado.",el momento histórico que estamos atravesando como país,situacion,"El sentimiento de orgullo se desencadena al reconocer la importancia y el significado especial del momento histórico que el país está viviendo, lo cual constituye una situación externa que provoca la emoción."
aforico,"La emoción de responsabilidad se percibe como neutra, sin polaridad positiva o negativa clara, por lo que se clasifica como afórico.",DISCURSO_048_FR_018,Presidente Javier Milei,responsabilidad,Cognoscitiva,"La expresión de responsabilidad se manifiesta principalmente a través de juicios y evaluaciones sobre la importancia del momento histórico y la necesidad de actuar con compromiso. No se observan indicios de manifestaciones corporales o sensaciones físicas, por lo que la dominancia se clasifica como cognoscitiva.",Baja,"El enunciado expresa una responsabilidad sin un tono emocional fuerte, simplemente reconoce la importancia del momento histórico y la necesidad de actuar con responsabilidad, lo que indica una intensidad baja.",el momento histórico que estamos atravesando como país,situacion,"El presidente señala que el contexto histórico actual impone un significado especial a las acciones y compromisos, lo que genera la emoción de responsabilidad como respuesta a esa situación"
Eufórico,"El discurso muestra determinación y entusiasmo al enfatizar el esfuerzo colectivo para revertir una realidad miserable, lo que indica una tonalidad positiva y de satisfacción.",DISCURSO_048_FR_019,Presidente Javier Milei,determinación,Cognoscitiva,"El discurso enfatiza el esfuerzo colectivo y la acción deliberada para revertir una realidad percibida como miserable, lo que indica una evaluación y decisión mental de cambiar la situación. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la dominancia se ubica en el ámbito cognoscitivo.",Alta,"El discurso enfatiza un esfuerzo colectivo sostenido y la superación de una realidad miserable impuesta por la casta política, lo que indica una determinación firme y activa. La referencia a ""con esfuerzo"" y a la reversión de la situación a lo largo del año sugiere una emoción intensamente expresada y orientada a la acción, característica de una alta intensidad.",la casta política,actor,"El sentimiento de determinación surge como respuesta a la imposición de una realidad miserable por parte de la casta política, lo que impulsa la acción colectiva para revertirla."
euforico,"La emoción de esperanza implica una expectativa positiva y optimista sobre el futuro. En el discurso se expresa que ""hemos comenzado a revertir"" la situación, lo que denota un cambio favorable y la creencia de que las cosas mejorarán. Este tono positivo y entusiasta corresponde al carácter eufórico según la ontología y las heurísticas de inferencia de foria.",DISCURSO_048_FR_019,Presidente Javier Milei,esperanza,Cognoscitiva,"El enunciado expresa esperanza a través de una evaluación cognitiva de la situación: se reconoce que la realidad miserable impuesta por la casta política está siendo revertida con esfuerzo. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la emoción se manifiesta principalmente en juicios y pensamientos.",Baja,"El enunciado expresa esperanza de forma moderada, indicando un progreso con esfuerzo sin usar adjetivos intensos, por lo que la intensidad se considera baja.",la reversión de la realidad miserable impuesta por la casta política,situacion,"El sentimiento de esperanza se desencadena por el hecho concreto de que, con esfuerzo, se ha empezado a revertir la realidad miserable que la casta política impuso a los argentinos, lo cual constituye una situación de cambio positivo que genera la emoción."
Disfórico,"La emoción identificada es frustración, la cual se caracteriza por un tono negativo de malestar y descontento ante una situación percibida como injusta o limitante. En el discurso, Milei expresa descontento al señalar que la casta política ha impuesto una realidad miserable durante demasiado tiempo, lo que indica claramente una valoración negativa y de malestar, por lo que la foria correspondiente es disfórica.",DISCURSO_048_FR_019,Presidente Javier Milei,frustración,Cognoscitiva,"El discurso de Milei expresa frustración al evaluar la prolongada imposición de una realidad miserable por parte de la casta política. La manifestación de la emoción se centra en juicios y evaluaciones cognitivas sobre la duración y la injusticia de la situación, sin indicios explícitos de manifestaciones corporales o sensaciones físicas. Por lo tanto, la dominancia de la emoción identificada es cognoscitiva.",Alta,"El discurso utiliza adverbios y adjetivos que intensifican la frustración: ""por demasiado tiempo"" y ""realidad miserable"" indican una queja fuerte y prolongada contra la casta política. La combinación de estos elementos sugiere una expresión de frustración de alta intensidad.",la casta política,actor,"El presidente Milei expresa frustración por la prolongada imposición de una realidad miserable a los argentinos por parte de la casta política, identificando a este grupo como la fuente de su frustración."
Disfórico,"El enunciador expresa indignación al afirmar que la casta política impuso una realidad miserable a los argentinos, lo cual es una emoción negativa y de malestar.",DISCURSO_048_FR_019,Presidente Javier Milei,indignación,Cognoscitiva,"El discurso expresa indignación al afirmar que la casta política impuso una realidad miserable a los argentinos, lo cual implica un juicio evaluativo de injusticia y una reflexión sobre la situación. No se mencionan manifestaciones físicas o sensaciones corporales, por lo que la emoción se manifiesta principalmente en el dominio cognitivo.",Alta,"El enunciado expresa una fuerte condena hacia la casta política, usando términos como ""miserable"" y ""impuso"" y enfatizando la duración con ""por demasiado tiempo"", lo que indica una indignación intensa y no moderada.",la casta política,actor,"El enunciador expresa indignación al afirmar que la casta política impuso una realidad miserable a los argentinos, por lo que la fuente de la emoción es la casta política."
Disfórico,"La expresión de indignación implica una reacción moral negativa y de malestar frente a la acción descrita. El uso de términos como ""legados nefastos"" y la condena explícita de la fractura entre la política y las fuerzas armadas revelan una tonalidad afectiva claramente desfavorable, lo que corresponde al carácter disfórico según la ontología y las heurísticas proporcionadas.",DISCURSO_048_FR_020,Presidente Javier Milei,indignación,Cognoscitiva,"El enunciado expresa una fuerte valoración moral y juicio crítico al describir los legados de la casta como ""nefastos"" y al señalar que han fracturado la relación con las fuerzas armadas. No se menciona ninguna manifestación física, sensación corporal ni gesto, por lo que la emoción de indignación se manifiesta principalmente a través de juicios y evaluaciones cognitivas.",Alta,"El enunciado utiliza calificativos fuertes como ""legados nefastos"" y expresa una condena directa a la casta, señalando que han fracturado la relación con las fuerzas armadas. La combinación de un lenguaje moralmente cargado y la acusación explícita indica una reacción de indignación intensa y no apenas leve o ambivalente.",la casta,actor,"El enunciador condena a la casta como ""legados nefastos"" y señala que han fracturado la relación con las fuerzas armadas, provocando indignación."
Disfórico,"La frase expresa descontento y enojo al afirmar que la casta ha fracturado la relación entre la política y las fuerzas armadas, lo que indica una emoción negativa y de malestar, caracterizando la ira como disfórica.",DISCURSO_048_FR_020,Presidente Javier Milei,ira,Cognoscitiva,"La frase expresa una evaluación crítica y un juicio sobre la acción de la casta, señalando que ha fracturado la relación entre la política y las fuerzas armadas. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la emoción de ira se manifiesta principalmente a través de la cognición (juicio, valoración y crítica).",Alta,"La frase emplea términos cargados de condena como ""nefastos"" y describe una ruptura profunda entre la política y las fuerzas armadas, lo que indica un enojo intenso y directo hacia la casta. El tono crítico y la acusación explícita sugieren una expresión de ira con alta intensidad.",la casta,actor,"El sentimiento de ira se origina en la acusación de que la casta ha fracturado la relación entre la política y las fuerzas armadas, por lo que la casta es la entidad que provoca la emoción."
Disfórico,"La frase expresa una pérdida de años valiosos y una crítica a la falta de apoyo político, lo que indica un tono negativo y de malestar característico de la emoción de decepción.",DISCURSO_048_FR_021,Presidente Javier Milei,Decepción,Cognoscitiva,"El discurso menciona la pérdida de años valiosos y la falta de apoyo político, lo que implica una valoración negativa y una evaluación de resultados. No se hace referencia a sensaciones físicas, por lo que la emoción se manifiesta principalmente en juicios y evaluaciones, lo que indica dominancia cognoscitiva.",Alta,"El discurso expresa una fuerte sensación de decepción al señalar que la falta de apoyo político resultó en la pérdida de años valiosos para el desarrollo militar, lo cual implica un impacto significativo y una reacción emocional intensa. La referencia a ""años valiosos"" y la crítica directa a la casta política refuerzan la intensidad alta de la emoción.",el grupo político que habla de soberanía pero desprestigia y diferencia a las fuerzas militares,actor,"La decepción se origina en la acción de los políticos que, a pesar de proclamarse defensores de la soberanía, actúan desprestigiando y diferenciando a las fuerzas militares, lo que provocó la pérdida de años valiosos en el desarrollo de las capacidades militares."
Disfórico,"La expresión de frustración implica un tono negativo, señalando pérdida de tiempo y recursos, lo que corresponde a una emoción de malestar o desagrado, caracterizada como disfórica.",DISCURSO_048_FR_021,Presidente Javier Milei,Frustración,Cognoscitiva,"El enunciado expresa frustración a través de una evaluación cognitiva: el hablante lamenta la pérdida de años valiosos en el desarrollo militar, calificando la acción de la casta política como causa de esa pérdida. No se mencionan manifestaciones físicas o sensaciones corporales, por lo que la dominancia se identifica como cognoscitiva.",Alta,"El enunciado expresa una frustración marcada por la pérdida de tiempo y recursos, enfatizando que ""eso nos hizo perder años valiosos"". La referencia a años valiosos y la crítica directa a la casta política indican una emoción intensamente expresada y no apenas sutil, lo que sugiere una intensidad alta.",los mismos que se llenaban la boca hablando de soberanía,actor,"El frustrado presidente Javier Milei atribuye la pérdida de años valiosos en el desarrollo militar a las acciones de los políticos que, a pesar de hablar de soberanía, se dedicaron a desprestigiar y diferenciar a las fuerzas armadas. Estas personas son la fuente directa de la frustración expresada."
disforico,"La indignación expresada por el presidente Javier Milei refleja una reacción de malestar y desagrado ante la hipocresía percibida, lo que indica una tonalidad afectiva negativa típica de emociones disfóricas.",DISCURSO_048_FR_021,Presidente Javier Milei,Indignación,Cognoscitiva,"El discurso se centra en juicios y evaluaciones críticas sobre la hipocresía y la injusticia percibida, sin mencionar manifestaciones físicas o sensaciones corporales. La indignación se expresa principalmente a través de la valoración de la conducta de los demás y la consecuencia negativa para el desarrollo militar, lo que indica una dominancia cognoscitiva.",Alta,"El discurso muestra indignación fuerte al denunciar la hipocresía de quienes, a pesar de hablar de soberanía, desprestigian y diferencian a las fuerzas, provocando la pérdida de años valiosos en el desarrollo militar. El uso de verbos fuertes como ""desprestigiar"", ""diferenciar"" y la referencia a la pérdida de recursos y tiempo refuerza la intensidad alta de la emoción.",los mismos que se llenaban la boca hablando de soberanía,actor,"La indignación surge al criticar a las personas que, a pesar de proclamarse defensores de la soberanía, se dedicaron a desprestigiar y diferenciar a las fuerzas militares, provocando la pérdida de años valiosos en su desarrollo."
disforico,"El sentimiento de resentimiento expresado en el discurso es una emoción negativa, marcada por malestar y desagrado hacia los responsables de la conducta descrita. Por lo tanto, se clasifica como disfórico.",DISCURSO_048_FR_021,Presidente Javier Milei,Resentimiento,Cognoscitiva,"El discurso expresa un juicio crítico y evaluativo sobre la conducta de los interlocutores, señalando que su desprestigio de las fuerzas causó pérdidas de tiempo y recursos. No se menciona ninguna manifestación física o sensación corporal, por lo que la emoción de resentimiento se manifiesta principalmente a través de la cognición (juicios, evaluaciones e interpretaciones).",Alta,"El discurso presenta un tono crítico y acusatorio, con la frase ""se dedicaron a desprestigiar y diferenciar a nuestras fuerzas"" y la consecuencia de ""perder años valiosos"". La acusación directa y la referencia a pérdidas significativas indican una expresión fuerte de resentimiento, lo que sugiere una intensidad alta.",los políticos que hablan de soberanía y desprestigian las fuerzas,actor,"El sentimiento de resentimiento surge por la conducta de los políticos que, a pesar de prometer soberanía, se dedicaron a desprestigiar y diferenciar a las fuerzas armadas, provocando la pérdida de años valiosos en su desarrollo."
euforico,"El uso de la expresión ""por suerte"" y la afirmación de que no lograron destruir el afecto persistente de la sociedad por las fuerzas armadas indica que el presidente siente alivio por la preservación de ese valor, lo cual se interpreta como una emoción de tono positivo y satisfacción, caracterizando un estado eufórico.",DISCURSO_048_FR_022,Presidente Javier Milei,Alivio,Cognoscitiva,"El presidente expresa alivio mediante la valoración positiva de que el afecto persistente no fue destruido, usando la expresión 'por suerte', lo cual indica una evaluación cognitiva de la situación, sin indicios de manifestaciones corporales.",Baja,"El uso de la expresión ""por suerte"" indica un alivio leve y no se emplean adjetivos o verbos que intensifiquen la emoción. La frase sugiere una sensación de alivio moderada por la preservación del afecto, sin un tono de euforia o gran sorpresa que caracterizaría una intensidad alta.",el intento de destruir el afecto persistente de la sociedad por las fuerzas armadas argentinas,situacion,El alivio del presidente surge porque la situación de que un grupo intentó destruir el afecto persistente de la sociedad por las fuerzas armadas argentinas no tuvo éxito; la preservación de ese valor es la circunstancia externa que desencadena la emoción.
euforico,"El discurso expresa un sentimiento de alivio al dejar atrás una ""triste página"" y comenzar a escribir una nueva con respeto y reconocimiento. La tonalidad es claramente positiva, con entusiasmo y satisfacción por el cambio, lo que corresponde a la categoría eufórica según la ontología y las heurísticas de inferencia.",DISCURSO_048_FR_023,Presidente Javier Milei,Alivio,Cognoscitiva,"El discurso enfatiza la evaluación mental de superar una etapa triste y comenzar una nueva, sin mencionar manifestaciones físicas. La emoción de alivio se presenta principalmente como un juicio positivo sobre el cambio de situación, lo que indica dominancia cognoscitiva.",Alta,"El discurso emplea verbos decisivos como ""dando vuelta"" y ""comenzamos a escribir una nueva"", que indican una acción concreta y positiva para dejar atrás una ""triste página"". Esta expresión de alivio es fuerte y clara, lo que sugiere una intensidad alta de la emoción.",dar vuelta a la página triste de la historia,situacion,"El alivio surge al dejar atrás la tristeza de la página histórica y comenzar una nueva, lo que constituye una situación que alivia el sentimiento de tristeza."
Eufórico,"El enunciador muestra determinación al afirmar que están comenzando a escribir una nueva página, lo cual implica una actitud positiva y entusiasta hacia el futuro, caracterizando una emoción eufórica.",DISCURSO_048_FR_023,Presidente Javier Milei,Determinación,Cognoscitiva,"El enunciado muestra una intención y juicio de acción futura, sin indicios de manifestaciones corporales, por lo que la dominancia es cognoscitiva.",Alta,"El enunciado expresa una firme resolución de cambiar la historia y afirmar que las fuerzas del hablante merecen respeto y reconocimiento, lo cual indica una determinación intensa y claramente manifestada.",la situación de dar vuelta la triste página de la historia y comenzar a escribir una nueva,situacion,"El sentimiento de determinación surge de la circunstancia concreta de superar una página triste de la historia y emprender la escritura de una nueva, lo cual constituye una situación que impulsa la emoción."
euforico,"El discurso expresa esperanza y optimismo al afirmar que están ""dando vuelta esta triste página"" y ""comenzamos a escribir una nueva"" con respeto y reconocimiento. La tonalidad es claramente positiva, llena de entusiasmo y satisfacción por el futuro, lo que corresponde a la categoría eufórica.",DISCURSO_048_FR_023,Presidente Javier Milei,Esperanza,cognoscitiva,"La frase expresa una expectativa positiva sobre el futuro y una valoración favorable de las acciones y resultados, lo que indica que la emoción de esperanza se manifiesta principalmente a través de juicios, evaluaciones y pensamientos, característicos de la dominancia cognoscitiva.",Baja,"El enunciado muestra esperanza al referirse a una nueva página y al reconocimiento de las fuerzas, pero no utiliza adverbios o verbos intensos; la expresión es optimista pero moderada, por lo que la intensidad se considera baja.",la nueva página que están escribiendo,objeto,"El sentimiento de esperanza surge al referirse a la creación de una nueva página de la historia, que simboliza un futuro mejor y la posibilidad de cambio positivo."
euforico,"El discurso expresa un tono positivo y esperanzador al afirmar que se está ""dando vuelta esta triste página"" y comenzando a escribir una nueva, donde las fuerzas reciben el respeto y reconocimiento que merecen. La referencia a un futuro mejor y la celebración de logros generan alegría y entusiasmo, características típicas de una emoción eufórica.",DISCURSO_048_FR_023,Presidente Javier Milei,Optimismo,Cognoscitiva,"El optimismo expresado en el discurso se basa principalmente en juicios y evaluaciones positivas sobre el futuro (“estamos dando vuelta esta triste página…comenzamos a escribir una nueva”), sin indicios de manifestaciones físicas o gestos. Por lo tanto, la dominancia de la emoción es cognoscitiva.",Alta,"El discurso emplea verbos activos y positivos como ""dando vuelta"" y ""comenzamos a escribir"", junto con la referencia a una nueva página y el reconocimiento de las fuerzas, lo que indica un optimismo fuerte y decidido. La ausencia de matices negativos o dudas refuerza la intensidad alta de la emoción.",la página de la historia,situacion,"El optimismo se desencadena por la situación de dar vuelta la triste página de la historia y comenzar a escribir una nueva, lo que representa un cambio positivo y esperanzador."
euforico,"El enunciado expresa orgullo y satisfacción al afirmar que sus fuerzas reciben el respeto y reconocimiento que merecen, lo cual refleja una tonalidad afectiva positiva y entusiasta, característica de la emoción eufórica.",DISCURSO_048_FR_023,Presidente Javier Milei,Orgullo,Cognoscitiva,"El enunciado expresa orgullo a través de juicios y evaluaciones sobre el respeto y reconocimiento que merecen las fuerzas, sin indicios de manifestaciones corporales, por lo que la dominancia es cognoscitiva.",Alta,"El enunciado emplea verbos activos y afirmaciones de logro (“estamos dando vuelta”, “comenzamos a escribir una nueva”) junto con la expresión de reconocimiento y merecimiento de sus fuerzas. El tono es afirmativo y celebratorio, típico de un orgullo con fuerza expresiva, lo que indica una intensidad alta.",el respeto y reconocimiento que reciben sus fuerzas,situacion,"El orgullo del presidente surge de la situación concreta en la que sus fuerzas obtienen el respeto y reconocimiento que consideran merecidos, lo cual constituye un evento externo que desencadena la emoción."
euforico,"El enunciado expresa una sensación de satisfacción y orgullo al afirmar que sus fuerzas reciben el respeto y reconocimiento que merecen, lo cual refleja un tono positivo y alegre, característico de una emoción eufórica.",DISCURSO_048_FR_023,Presidente Javier Milei,Satisfacción,Cognoscitiva,"La expresión de satisfacción se centra en la valoración y reconocimiento de un logro político: ""estamos dando vuelta esta triste página"" y ""nuestras fuerzas tienen el respeto y el reconocimiento que se merecen"". No se menciona ninguna manifestación física o sensorial, por lo que la emoción se manifiesta principalmente a través de juicios y evaluaciones cognitivas.",Alta,"El enunciado expresa una satisfacción fuerte y orgullosa al afirmar que sus fuerzas están recibiendo el respeto y reconocimiento que merecen, lo cual indica una emoción intensamente expresada dentro del contexto político y de cambio histórico.",el respeto y reconocimiento que reciben nuestras fuerzas,situacion,"El presidente siente satisfacción al afirmar que sus fuerzas están recibiendo el respeto y reconocimiento que merecen, lo cual constituye la situación que desencadena la emoción."
Eufórico,"El discurso expresa una expectativa positiva y optimista sobre la relación entre las fuerzas armadas y la política, lo que indica un tono de esperanza y entusiasmo, característico de una emoción eufórica.",DISCURSO_048_FR_024,Presidente Javier Milei,esperanza,Cognoscitiva,"La frase expresa una expectativa positiva y una valoración favorable del futuro, sin indicios de manifestaciones físicas, lo que indica que la emoción de esperanza se manifiesta principalmente a nivel cognitivo.",Neutra/Ambivalente,"El enunciado ""estamos reconciliando las fuerzas armadas con la política"" expresa una expectativa positiva (esperanza) sobre el futuro de la relación entre las fuerzas armadas y la política, pero no contiene adverbios, verbos intensificadores ni un tono emocional fuerte que sugiera una emoción intensamente expresada. Por lo tanto, la intensidad de la emoción se considera neutra o ambivalente, ya que la esperanza se presenta de manera moderada y sin indicios de una carga emocional elevada.",la reconciliación de las fuerzas armadas con la política,situacion,La esperanza surge de la expectativa positiva de que la reconciliación entre las fuerzas armadas y la política generará resultados favorables para el futuro.
Eufórico,"El discurso expresa una visión positiva y optimista al afirmar la reconciliación entre las fuerzas armadas y la política, lo que indica un tono de alegría, entusiasmo y satisfacción característico de una emoción eufórica.",DISCURSO_048_FR_024,Presidente Javier Milei,optimismo,Cognoscitiva,"El optimismo se manifiesta en la valoración positiva y la expectativa de mejora que el presidente expresa al afirmar que se están reconcilando las fuerzas armadas con la política. No se mencionan manifestaciones físicas ni gestos, por lo que la emoción se basa principalmente en juicios y evaluaciones cognitivas.",Baja,"El discurso menciona la reconciliación sin usar adverbios intensificadores ni expresiones emocionales fuertes; la afirmación es una declaración informativa y positiva, lo que sugiere una expresión de optimismo de intensidad baja.",reconciliación de las fuerzas armadas con la política,situacion,"El optimismo del presidente surge de la percepción de que la reconciliación entre las fuerzas armadas y la política es un evento positivo que mejora la estabilidad y la gobernabilidad, generando una visión optimista."
euforico,"La emoción identificada es orgullo, la cual se caracteriza por una sensación de satisfacción y logro. Este sentimiento positivo y de entusiasmo se alinea con la definición de eufórico, ya que implica alegría y satisfacción ante la acción de reconciliar las fuerzas armadas con la política.",DISCURSO_048_FR_024,Presidente Javier Milei,orgullo,Cognoscitiva,"El sentimiento de orgullo se manifiesta principalmente a través de juicios y evaluaciones internas sobre la acción de reconciliar las fuerzas armadas con la política. No se observan indicios de manifestaciones físicas o gestos que sugieran una dominancia corporal; la emoción se centra en la valoración positiva y el reconocimiento de un logro, lo que indica una dominancia cognoscitiva.",Baja,"El enunciado es una declaración directa y sin adverbios o intensificadores que aumenten la fuerza emocional. La expresión de orgullo se presenta de manera moderada, simplemente afirmando una acción positiva sin enfatizarla de forma exagerada, lo que sugiere una intensidad baja.",reconciliación de las fuerzas armadas con la política,situacion,"El sentimiento de orgullo se origina en la acción de reconciliar las fuerzas armadas con la política, un evento positivo que el presidente percibe como logro y avance."
euforico,"La emoción de satisfacción se interpreta como positiva, por lo que se clasifica como eufórico.",DISCURSO_048_FR_024,Presidente Javier Milei,satisfacción,Cognoscitiva,"La frase expresa una valoración positiva y una percepción de logro por parte del presidente, lo que indica que la emoción de satisfacción se manifiesta principalmente a través de juicios y evaluaciones cognitivas, sin indicios de manifestaciones corporales explícitas en el contexto proporcionado.",Neutra/Ambivalente,"El discurso no contiene adverbios, adjetivos ni verbos que intensifiquen la emoción de satisfacción; la frase simplemente indica un proceso de reconciliación sin expresiones de júbilo extremo o de descontento. En ausencia de señales de intensidad, se infiere una emoción de satisfacción de carácter neutro o ambivalente.",el proceso de reconciliación de las fuerzas armadas con la política,situacion,"La satisfacción del presidente surge del hecho de que se está llevando a cabo la reconciliación entre las fuerzas armadas y la política, una situación que se percibe como positiva y satisfactoria."
Eufórico,"El discurso expresa una confianza positiva y de seguridad en la capacidad del gobierno para cumplir con sus promesas, lo que se interpreta como una tonalidad afectiva de satisfacción y entusiasmo, característicos de la categoría eufórica.",DISCURSO_048_FR_025,Presidente Javier Milei,confianza,Cognoscitiva,"El discurso expresa una evaluación de confianza en la capacidad del gobierno para apoyar y jerarquizar las fuerzas, lo que implica un juicio y una creencia interna. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la dominancia se ubica en el dominio cognoscitivo.",Alta,"El enunciador utiliza verbos de compromiso y afirmación (“haciendo todo lo que esté a su alcance”, “los acompañará”) y expresa una convicción firme sobre la capacidad del gobierno para respaldar y jerarquizar las fuerzas. La expresión de confianza es directa y contundente, lo que indica una intensidad alta de la emoción.",el gobierno,actor,"El presidente expresa confianza en la capacidad del gobierno para acompañar y jerarquizar las fuerzas, lo que genera la emoción de confianza."
Eufórico,"La expresión ""hará todo lo que esté a su alcance"" refleja una actitud decidida y comprometida, caracterizada por entusiasmo y una fuerte voluntad de lograr objetivos. Este tono positivo y de energía activa se alinea con la definición de eufórico, que engloba emociones de alegría, entusiasmo o satisfacción. En ausencia de indicios de malestar o neutralidad, la determinación se interpreta como una manifestación de eufórico.",DISCURSO_048_FR_025,Presidente Javier Milei,determinación,cognoscitiva,"La frase ""hará todo lo que esté a su alcance"" refleja una actitud de compromiso y decisión basada en juicios y planes futuros, sin indicios de manifestaciones físicas o sensaciones corporales. Por lo tanto, la dominancia de la emoción de determinación se interpreta como cognoscitiva.",Alta,"La frase ""hará todo lo que esté a su alcance"" expresa un compromiso firme y decidido, caracterizando una actitud de determinación intensa. El uso de la expresión completa y la promesa de acción total refuerzan la fuerza del sentimiento, lo que indica una intensidad alta en el contexto del discurso político.",el gobierno,actor,"La frase destaca que el gobierno acompañará y hará todo lo posible para jerarquizar las tres fuerzas, lo que constituye una promesa concreta y activa que impulsa la actitud de determinación del hablante."
Eufórico,"El discurso expresa una visión positiva y optimista sobre el futuro de la nueva camada de egresados, resaltando la presencia de un gobierno que los acompañará y hará todo lo posible para jerarquizar las fuerzas. El tono está cargado de esperanza, entusiasmo y confianza en un resultado favorable, lo que corresponde a la categoría eufórica según la ontología y las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_025,Presidente Javier Milei,esperanza,Cognoscitiva,"El discurso expresa una expectativa positiva sobre el futuro y una valoración favorable de las acciones que el gobierno realizará, lo que indica una evaluación mental y una proyección de resultados esperanzadores. No se mencionan sensaciones físicas ni gestos corporales, por lo que la emoción de esperanza se manifiesta principalmente en el dominio cognitivo.",Alta,"El discurso expresa una expectativa positiva y optimista sobre el futuro de la nueva camada de egresados, resaltando la inmediatez de un apoyo gubernamental y la posibilidad de experimentar algo inédito. El uso de expresiones como ""será testigo de algo inédito"" y ""contarán con un gobierno que los acompañará y hará todo lo que esté a su alcance"" indica una emoción de esperanza con fuerza y convicción, lo que sugiere una intensidad alta.",el gobierno,actor,"El presidente Milei expresa esperanza al afirmar que los egresados contarán con un gobierno que los acompañará y hará todo lo posible, lo que constituye la fuente de la emoción."
