foria,foria_justificacion,recorte_id,experienciador,tipo_emocion,dominancia,dominancia_justificacion,intensidad,intensidad_justificacion,fuente,tipo_fuente,fuente_justificacion
euforico,"El discurso expresa felicitaciones y reconocimiento a los graduados, lo que genera una sensación de orgullo y satisfacción. La expresión ""mis más sinceras felicitaciones"" y el hecho de que se celebra la finalización de la formación básica para el servicio a la patria indican un tono positivo y alegre, característico de una emoción eufórica.",DISCURSO_048_FR_009,Público general argentino (tipo: paradestinatario),orgullo,Cognoscitiva,"El orgullo expresado en el discurso se manifiesta principalmente a través de juicios y evaluaciones: el reconocimiento de la finalización de la formación básica y la felicitación por la elección de servir a la patria implican una valoración positiva de la acción y del logro. No se mencionan manifestaciones físicas o sensaciones corporales, por lo que la dominancia se ubica en el dominio cognoscitivo.",Alta,"El discurso utiliza expresiones fuertes y formales como ""mis más sinceras felicitaciones"", lo que indica una celebración intensa del logro de los graduados. La naturaleza del evento (finalización de la formación básica para el servicio a la patria) y el reconocimiento público generan un sentimiento de orgullo elevado, por lo que la intensidad se clasifica como alta.",finalización de la formación básica para el servicio a la patria,situacion,El acto de culminar la formación básica constituye un evento concreto que genera orgullo en el público al reconocer el logro y el compromiso con la patria.
Disfórico,"La ansiedad descrita en el discurso es una emoción negativa que implica preocupación, malestar y temor ante la posible pérdida de influencia. Estas características corresponden a un tono afectivo desfavorable, por lo que se clasifica como disfórico según la ontología y las heurísticas proporcionadas.",DISCURSO_048_FR_010,Oposición política (la casta política),ansiedad,Cognoscitiva,"La ansiedad descrita se centra en la evaluación de la pérdida de influencia y la presión constante que se espera en la vida profesional, lo que indica que la emoción se manifiesta principalmente a través de juicios y pensamientos sobre la situación, sin indicios explícitos de manifestaciones corporales.",Alta,"El discurso critica a la casta política y llama a la responsabilidad, generando una sensación de presión constante y posible pérdida de influencia. La frase ""se les exigirá permanentemente"" sugiere una expectativa continua que puede provocar ansiedad intensa en la oposición. En este contexto, la emoción de ansiedad se percibe como fuerte y sostenida, lo que justifica la clasificación de alta intensidad.",la crítica a la casta política,situacion,"La crítica dirigida a la casta política constituye un evento externo que provoca ansiedad en la oposición, ya que amenaza su influencia y los pone bajo presión de responder a las exigencias de responsabilidad."
Disfórico,"La emoción identificada es resentimiento, la cual se caracteriza por un tono negativo, malestar y desagrado hacia la situación percibida. En el contexto del discurso, la oposición política siente una amenaza a su posición, lo que genera una respuesta de descontento y hostilidad. Dado que el resentimiento implica una valoración negativa y una sensación de injusticia, se clasifica como disfórico según la ontología y las heurísticas proporcionadas.",DISCURSO_048_FR_010,Oposición política (la casta política),resentimiento,Cognoscitiva,"El resentimiento se manifiesta principalmente en juicios y evaluaciones sobre la amenaza percibida a la posición política de la oposición, sin evidencia de manifestaciones corporales explícitas en el discurso. La percepción de injusticia y la valoración crítica de la amenaza generan una respuesta cognitiva dominante.",Neutra/Ambivalente,"El fragmento citado no contiene adjetivos, adverbios ni verbos que intensifiquen la emoción de resentimiento; la frase es descriptiva y neutral en cuanto a tono. Sin embargo, el contexto del discurso—restaurar el respeto a las Fuerzas Armadas y criticar a la casta política—puede generar resentimiento en la oposición, pero la expresión directa de esa emoción no es evidente en el texto. Por lo tanto, la intensidad inferida es neutra o ambivalente.",el discurso que restaura el respeto a las Fuerzas Armadas y critica la casta política,situacion,El discurso constituye un evento externo que provoca la emoción de resentimiento en la oposición al percibir una amenaza a su posición.
Eufórico,"La emoción identificada es esperanza, la cual es inherentemente positiva y se asocia con optimismo, entusiasmo y la expectativa de resultados favorables. En la clasificación propuesta, las emociones de tono positivo, alegría o satisfacción se clasifican como eufórico. Dado que la esperanza comparte estas características de positividad y motivación, se infiere que su carácter fórico es eufórico.",DISCURSO_048_FR_010,Partido político de Javier Milei y su base electoral,esperanza,Cognoscitiva,"La emoción de esperanza se manifiesta principalmente a través de juicios y evaluaciones sobre el futuro, como la expectativa de que la nueva generación cumplirá con los ideales del partido. En el discurso no se mencionan manifestaciones físicas o sensaciones corporales, sino una valoración positiva y una proyección hacia adelante, lo que indica una dominancia cognoscitiva.",Baja,"El discurso menciona la expectativa de que la nueva generación cumplirá con los ideales del partido, pero no utiliza adjetivos intensos ni expresiones de euforia. La referencia a demandas permanentes sugiere una expectativa moderada, por lo que la intensidad de la emoción esperanza se interpreta como baja.",la exigencia permanente que enfrentarán los nuevos oficiales,situacion,"El discurso menciona que los nuevos oficiales deberán responder a demandas permanentes, lo que genera la esperanza de que la nueva generación cumplirá con los ideales del partido. La fuente de esa emoción es la situación de exigencia permanente que se presenta ante ellos."
Eufórico,"El orgullo expresado en la frase se presenta con un tono positivo, resaltando el logro y la transición de los graduados a la vida profesional. No hay indicios de malestar ni ambivalencia, por lo que la emoción se clasifica como eufórica.",DISCURSO_048_FR_010,Partido político de Javier Milei y su base electoral,orgullo,Cognoscitiva,"El orgullo expresado se basa en la valoración de los logros académicos y la transición a la vida profesional, alineándose con los valores del partido y la base electoral. La frase enfatiza juicios y evaluaciones de éxito y pertenencia, sin indicios claros de manifestaciones corporales, por lo que la dominancia es cognoscitiva.",Baja,"La frase presenta la culminación y el inicio de la vida profesional de los graduados de manera factual y sin adjetivos o verbos que intensifiquen la emoción. No se utilizan expresiones de euforia, exaltación o entusiasmo que caracterizarían un orgullo de alta intensidad. Por lo tanto, la emoción de orgullo se infiere como leve o sutil en este contexto.",la culminación de la vida de estudiantes y el inicio de la vida profesional de los graduados,situacion,"El sentimiento de orgullo se desencadena por el evento concreto de que los graduados concluyen su etapa académica y comienzan su carrera profesional, una situación que representa un logro y una transición importante."
Eufórico,"El discurso busca inspirar entusiasmo y motivación en el público, resaltando la disciplina y el compromiso de los nuevos oficiales. La referencia a la exigencia permanente se presenta como un reto positivo que fomenta la superación y la satisfacción, lo que indica un tono de alegría y entusiasmo característico de una emoción eufórica.",DISCURSO_048_FR_010,Público general argentino,inspiración,Cognoscitiva,"La emoción de inspiración se manifiesta principalmente a través de juicios y evaluaciones sobre la disciplina y el compromiso que se exige en la vida profesional. El discurso invita al público a reflexionar sobre la exigencia permanente y a motivarse cognitivamente, sin enfatizar manifestaciones físicas explícitas.",Alta,"El discurso menciona la culminación de la vida estudiantil y el inicio de la vida profesional con la exigencia permanente, lo que implica un llamado fuerte a la disciplina y el compromiso. El uso de verbos como ""exigirá"" y el contexto de una ceremonia de graduación generan una motivación intensa, caracterizando la emoción de inspiración como de alta intensidad.",la transición de la vida estudiantil a la vida profesional con exigencia permanente,situacion,"El evento de culminar la vida estudiantil y comenzar la vida profesional, donde se exige permanencia, constituye una situación que inspira al público general argentino."
euforico,"La emoción de orgullo se caracteriza por sentimientos de satisfacción y alegría ante el logro de los demás, lo que corresponde a un tono afectivo positivo. En el discurso se celebra la culminación de la formación militar y el inicio de una carrera de defensa, generando entusiasmo y orgullo en el público, por lo que la foria se clasifica como eufórica.",DISCURSO_048_FR_010,Público general argentino,orgullo,Cognoscitiva,"El orgullo expresado por el público general argentino se manifiesta principalmente a través de juicios y evaluaciones positivas sobre la culminación de la formación militar y el inicio de la carrera profesional de los estudiantes. No se observan indicios de manifestaciones corporales explícitas (sensaciones físicas, gestos), por lo que la dominancia se clasifica como cognoscitiva.",Alta,"El discurso celebra el culminar de la formación militar y el inicio de una carrera de defensa nacional, un hito significativo que suele generar un sentimiento de orgullo fuerte entre el público general argentino. La referencia a la exigencia permanente y la responsabilidad que implica la vida profesional refuerza la percepción de un logro importante, lo que sugiere una intensidad alta de la emoción de orgullo.",la culminación de la formación militar y el inicio de la carrera profesional de los cadetes,situacion,"El público general argentino siente orgullo al presenciar el evento de que los cadetes militares culminen su vida de estudiantes y comiencen su vida profesional, lo cual representa la defensa del país."
Eufórico,"El discurso expresa una visión positiva y esperanzadora, indicando que la nueva etapa será de aprendizaje continuo y beneficioso, lo que refleja alegría y entusiasmo, característicos de una emoción eufórica.",DISCURSO_048_FR_011,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),esperanza,Cognoscitiva,"La frase expresa una expectativa positiva y una valoración esperanzadora sobre el futuro, centrada en la idea de aprendizaje continuo y en las enseñanzas que perdurarán. No se mencionan sensaciones físicas ni gestos, por lo que la emoción se manifiesta principalmente a través de juicios y evaluaciones cognitivas.",Baja,"El discurso expresa una visión positiva y esperanzadora sobre el futuro, pero lo hace de manera moderada y sin un énfasis emocional extremo. La referencia a una nueva etapa de aprendizaje y a las enseñanzas que acompañarán a las personas sugiere optimismo, pero la expresión no incluye adverbios ni verbos intensos que indiquen una emoción muy fuerte. Por lo tanto, la intensidad se considera baja.",una nueva etapa de aprendizaje,situacion,"El discurso menciona el inicio de una nueva fase de aprendizaje que promete continuidad y crecimiento, lo cual constituye una circunstancia futura que genera esperanza en el público."
Eufórico,"El discurso enfatiza la continuidad del aprendizaje y la idea de que las enseñanzas acompañarán a los oyentes por el resto de sus vidas, lo cual transmite entusiasmo y satisfacción positiva. No hay indicios de malestar o negatividad, por lo que la emoción se clasifica como eufórica.",DISCURSO_048_FR_011,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),motivación,Cognoscitiva,"El discurso enfatiza la continuidad del aprendizaje y el acompañamiento de las enseñanzas a lo largo de la vida, lo que refleja juicios, evaluaciones y pensamientos sobre el futuro y el desarrollo personal. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la dominancia se identifica como cognoscitiva.",Alta,"El discurso enfatiza la continuidad del aprendizaje con frases como ""nunca dejarán de aprender"" y ""las enseñanzas los acompañarán el resto de sus vidas"", lo que sugiere un llamado motivacional fuerte y persuasivo destinado a inspirar y mantener el compromiso de la base electoral.",el inicio de una nueva etapa de formación,situacion,"El discurso destaca que termina una etapa y comienza otra de aprendizaje continuo, lo cual constituye una situación concreta que genera motivación en la base electoral."
Eufórico,"El discurso transmite una perspectiva optimista y positiva, resaltando que las enseñanzas acompañarán a los oyentes durante el resto de sus vidas. La expresión de continuidad y crecimiento futuro genera entusiasmo y satisfacción, lo que corresponde al carácter eufórico según la ontología y las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_011,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),optimismo,Cognoscitiva,"El discurso enfatiza la expectativa de aprendizaje continuo y el acompañamiento de las enseñanzas a lo largo de la vida, lo cual se basa en juicios y evaluaciones futuras, sin referencias a sensaciones físicas, por lo que la dominancia es cognoscitiva.",Neutra/Ambivalente,"El discurso expresa una visión optimista al afirmar que las enseñanzas acompañarán el resto de las vidas, pero lo hace de manera moderada y sin un tono de euforia o entusiasmo extremo. La expresión es esperanzadora y positiva, pero no intensamente apasionada, lo que sugiere una intensidad neutral o ambivalente.",comienzo de una nueva etapa de aprendizaje que ofrece enseñanzas permanentes,situacion,"La emoción de optimismo surge del hecho de que la base electoral percibe la transición a una nueva fase de formación, donde las enseñanzas continuas y su impacto duradero representan una circunstancia positiva que impulsa la esperanza y el entusiasmo."
Eufórico,"El discurso celebra el logro de los graduados y su continuo aprendizaje, generando orgullo, lo cual se asocia con una emoción de tono positivo y satisfacción, caracterizada como eufórica.",DISCURSO_048_FR_011,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),orgullo,Cognoscitiva,"El orgullo se manifiesta principalmente a través de la valoración cognitiva de los logros alcanzados y la expectativa de aprendizaje futuro, sin indicios claros de manifestaciones corporales predominantes.",Alta,"El discurso celebra el logro de los graduados y su continuo aprendizaje, con un tono de celebración y reconocimiento que suele asociarse a un orgullo fuerte. La frase destaca la culminación de una etapa y el inicio de otra, reforzando la idea de éxito y progreso, lo que indica una intensidad alta de orgullo.",la graduación de los estudiantes,situacion,"El orgullo del partido y su base electoral se desencadena por el evento concreto de la graduación, que marca el fin de una etapa de formación y el inicio de una nueva fase de aprendizaje continuo."
euforico,"El discurso expresa una visión positiva y esperanzadora del futuro de los graduados, resaltando la continuidad del aprendizaje y el acompañamiento de las enseñanzas a lo largo de sus vidas. Este tono optimista y de expectativa favorable corresponde a la categoría eufórica, caracterizada por la alegría, entusiasmo y satisfacción que la esperanza evoca.",DISCURSO_048_FR_011,Presidente Javier Milei,esperanza,Cognoscitiva,"La expresión de esperanza se centra en la valoración positiva y la expectativa futura de aprendizaje continuo. No se menciona ninguna manifestación física ni gesto corporal; la emoción se manifiesta a través de juicios y evaluaciones mentales sobre el futuro de los graduados, lo que indica una dominancia cognoscitiva.",Alta,"El discurso expresa una visión muy positiva y optimista sobre el futuro de los graduados, enfatizando que nunca dejarán de aprender y que las enseñanzas los acompañarán toda la vida. El uso de expresiones como ""nunca dejarán de aprender"" y la referencia a un acompañamiento permanente refuerzan la fuerza de la emoción de esperanza, lo que indica una intensidad alta.",nueva etapa de aprendizaje,situacion,"El discurso menciona que termina una etapa y comienza otra donde nunca dejarán de aprender, lo que genera esperanza en los graduados."
Eufórico,"El discurso celebra el logro de los graduados y expresa orgullo, un sentimiento positivo y de satisfacción. La frase destaca el cierre de una etapa y el inicio de otra llena de aprendizaje, lo que refuerza la tonalidad alegre y entusiasta típica de la emoción eufórica.",DISCURSO_048_FR_011,Presidente Javier Milei,orgullo,Cognoscitiva,"El orgullo se expresa a través de la valoración positiva de la finalización de la etapa y la expectativa de aprendizaje futuro, sin mencionar sensaciones corporales o gestos; por lo tanto, la dominancia es cognoscitiva.",Alta,"El discurso celebra el logro de los graduados al concluir una etapa de formación, lo que implica un sentimiento de orgullo por su éxito. La expresión es celebratoria y positiva, típica de un tono de orgullo fuerte, lo que sugiere una intensidad alta.",el logro de los graduados al concluir una etapa de formación,situacion,"El orgullo del presidente surge al observar el evento concreto de que los graduados han terminado una etapa de su formación, lo cual constituye una situación específica que desencadena la emoción."
Eufórico,"La emoción de esperanza se caracteriza por un tono positivo y optimista, generando entusiasmo y satisfacción ante la perspectiva de nuevas oportunidades de aprendizaje, lo que la clasifica como eufórica según la ontología.",DISCURSO_048_FR_011,Público general argentino (tipo: paradestinatario),esperanza,Cognoscitiva,"La emoción de esperanza se manifiesta principalmente a través de juicios y evaluaciones mentales sobre el futuro: la frase indica que, aunque termina una etapa, comienza otra de aprendizaje continuo y de enseñanzas que acompañarán la vida. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la dominancia se ubica en el dominio cognoscitivo.",Alta,"El discurso enfatiza el inicio de una nueva etapa de aprendizaje que se presenta como continua y permanente, con la promesa de que las enseñanzas acompañarán al resto de las vidas. Este mensaje de progreso y crecimiento futuro genera una sensación de esperanza fuerte y sostenida, lo que indica una intensidad alta de la emoción.",la promesa de una nueva etapa de aprendizaje que continuará toda la vida,situacion,"El mensaje describe el inicio de una nueva fase de formación que garantiza aprendizaje continuo y enseñanzas duraderas, lo cual constituye una circunstancia externa que genera esperanza en el público."
Eufórico,"El discurso transmite entusiasmo y optimismo al enfatizar la continuidad del aprendizaje y el acompañamiento de las enseñanzas a lo largo de la vida, lo que genera una emoción positiva y motivadora típica de la euforía.",DISCURSO_048_FR_011,Público general argentino (tipo: paradestinatario),inspiración,Cognoscitiva,"El discurso enfatiza la reflexión sobre el cierre de una etapa y el inicio de otra de aprendizaje continuo, lo que implica juicios, evaluaciones y pensamientos motivacionales. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la emoción de inspiración se manifiesta principalmente en el dominio cognitivo.",Alta,"El discurso enfatiza la continuidad del aprendizaje y el impacto duradero de las enseñanzas, elementos típicos de una inspiración fuerte y motivadora, lo que sugiere una intensidad alta.",la transición de terminar una etapa de formación y comenzar otra de aprendizaje continuo,situacion,"El discurso inspira al público al describir el evento de concluir una etapa de formación y dar inicio a una nueva etapa de aprendizaje permanente, lo cual genera una sensación de inspiración."
euforico,"El discurso expresa una visión positiva y esperanzadora sobre el futuro de los graduados, resaltando la continuidad del aprendizaje y el acompañamiento de las enseñanzas a lo largo de sus vidas. Esta tonalidad claramente alegre y optimista corresponde al carácter eufórico.",DISCURSO_048_FR_011,Público general argentino (tipo: paradestinatario),optimismo,cognoscitiva,"El discurso expresa una visión optimista sobre el futuro de los graduados, enfocándose en la idea de que seguirán aprendiendo y que esas enseñanzas los acompañarán toda la vida. Esta valoración positiva y esperanzadora se basa en juicios y evaluaciones mentales sobre el futuro, sin mencionar manifestaciones físicas o sensaciones corporales. Por lo tanto, la dominancia de la emoción identificada (optimismo) se clasifica como cognoscitiva.",Baja,"El discurso expresa optimismo de manera moderada, sin usar adjetivos o verbos intensamente cargados. La frase indica una visión esperanzadora y positiva sobre el futuro de los graduados, pero la expresión es suave y no exagerada, lo que sugiere una intensidad baja de la emoción.",el inicio de una nueva etapa de aprendizaje,situacion,"La emoción de optimismo se desencadena por la situación de que los graduados están a punto de comenzar una nueva fase de aprendizaje continuo, lo cual sugiere crecimiento y oportunidades futuras."
Eufórico,"El discurso celebra el logro de los graduados, generando orgullo, una emoción positiva y de satisfacción, por lo que se clasifica como eufórico.",DISCURSO_048_FR_011,Público general argentino (tipo: paradestinatario),orgullo,Cognoscitiva,"El orgullo expresado en el discurso se fundamenta en la valoración y reconocimiento de los logros alcanzados por los graduados, así como en la expectativa de futuros aprendizajes. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la emoción se manifiesta principalmente a través de juicios y evaluaciones cognitivas.",Alta,"El discurso celebra el logro de los graduados, un momento típicamente cargado de orgullo intenso. Aunque la frase en sí es reflexiva y no contiene adverbios o verbos que intensifiquen la emoción, el contexto general de una ceremonia de graduación y la referencia a un logro significativo implican una expresión de orgullo fuerte y celebratoria.",el logro de los graduados,situacion,"El orgullo del público general se desencadena al presenciar el logro de los graduados, es decir, la culminación de su formación y el inicio de una nueva etapa de aprendizaje, un evento significativo que provoca la emoción."
disforico,"El sentimiento de desprecio expresado en la frase es claramente negativo, reflejando desagrado y crítica hacia la oposición política. Este tono de malestar y desdén corresponde a la categoría de emoción disfórica según la ontología proporcionada.",DISCURSO_048_FR_012,Oposición política (la casta política),Desprecio,cognoscitiva,"El sentimiento de desprecio se manifiesta principalmente a través de juicios y evaluaciones sobre la casta política, sin indicios de manifestaciones físicas o sensaciones corporales. La crítica implícita y la exaltación de valores militares generan una valoración negativa y despectiva, lo que indica una dominancia cognoscitiva.",Alta,"El discurso emplea un tono de amenaza simbólica y exaltación militar que implica una crítica directa y despectiva hacia la oposición política. La referencia a la entrega de sables como símbolo de principios y valores de héroes emancipadores sugiere una postura de superioridad y desprecio, lo que indica una expresión intensa de la emoción de desprecio.",la entrega de los sables a la oposición,situacion,"El sentimiento de desprecio se desencadena por la acción de entregar sables, símbolo de fuerza militar, a la oposición, lo que implica una crítica implícita a la casta política y sugiere una militarización de la oposición, generando desprecio."
disforico,"La emoción de indignación se caracteriza por un tono negativo y de malestar frente a la exclusión y la crítica a la casta política, lo que la clasifica como disfórica según la ontología y las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_012,Oposición política (la casta política),Indignación,Cognoscitiva,"La indignación se origina principalmente en la evaluación cognitiva de una injusticia percibida: la exclusión de la oposición política de la narrativa de los héroes emancipadores. El discurso provoca juicios sobre la legitimidad y la equidad, lo que indica que la emoción se manifiesta principalmente a través de procesos mentales y evaluaciones, caracterizando una dominancia cognoscitiva.",Alta,"El discurso emplea un lenguaje simbólico y exaltador (""sables"" que representan los máximos principios y valores de los héroes emancipadores) y critica directamente a la casta política, lo que suele generar una reacción de indignación fuerte en la oposición. La combinación de la exaltación militar con la exclusión percibida produce una emoción intensamente expresada, por lo que se infiere una intensidad alta.",la entrega de los sables,situacion,"La oposición política se siente indignada porque la ceremonia de entrega de los sables, símbolos de los máximos principios y valores de los héroes emancipadores, los excluye de la narrativa y la participación, generando una reacción de indignación ante la exclusión."
disforico,"El sentimiento de resentimiento se caracteriza por una carga negativa, manifestada en malestar y descontento ante la percepción de polarización y falta de reconocimiento. Por lo tanto, la emoción identificada presenta un tono disfórico.",DISCURSO_048_FR_012,Oposición política (la casta política),Resentimiento,Cognoscitiva,"El sentimiento de resentimiento del grupo opositor se manifiesta principalmente a través de juicios y evaluaciones sobre la falta de reconocimiento y la polarización política. La frase sugiere una entrega simbólica que el grupo percibe como insuficiente o despectiva, lo que genera una valoración negativa y una sensación de injusticia. No se observan indicios claros de manifestaciones corporales (sensaciones físicas o gestos) en el contexto proporcionado, por lo que la dominancia se clasifica como cognoscitiva.",Baja,"El discurso presenta una declaración formal y simbólica sin uso de adjetivos o adverbios intensos que indiquen una fuerte carga emocional. La expresión de resentimiento se percibe de manera sutil, reflejada en la crítica implícita a la oposición política, lo que sugiere una intensidad baja.",la entrega de los sables a los destinatarios,situacion,"El resentimiento surge porque la oposición percibe que la entrega simbólica de los sables, que representan los principios y valores de los héroes emancipadores, se realiza a otros, lo que implica una exclusión y falta de reconocimiento de sus aportes."
euforico,"La emoción de inspiración descrita en el discurso transmite entusiasmo, motivación y una sensación de orgullo y esperanza. El acto simbólico de entregar los sables, representando los principios y valores de los héroes emancipadores, genera un sentimiento positivo y de satisfacción que impulsa a los partidarios a seguir apoyando la causa. Este tono claramente positivo y alentador se alinea con la categoría eufórica, que se caracteriza por expresiones de alegría, entusiasmo y satisfacción.",DISCURSO_048_FR_012,Partido político de Javier Milei y su base electoral,Inspiración,Cognoscitiva,"El discurso enfatiza la entrega simbólica de los sables como representación de los principios y valores de los héroes emancipadores, lo que provoca una valoración cognitiva de significado histórico y moral. No se describen sensaciones físicas ni gestos corporales, por lo que la emoción de inspiración se manifiesta principalmente a través de juicios y evaluaciones mentales sobre la causa y la motivación que ello genera.",Alta,"El discurso emplea símbolos poderosos (los sables) y referencias a héroes emancipadores y principios máximos, lo que sugiere una intención de motivar y elevar el ánimo de la audiencia. La combinación de metáforas históricas y la promesa de entrega de símbolos de valor indica una expresión de inspiración con fuerza y convicción, típica de un tono de alta intensidad.",entrega de los sables,situacion,"La entrega de los sables, símbolo de los máximos principios y valores de los héroes emancipadores, constituye un evento que inspira a la base electoral a continuar apoyando la causa."
Eufórico,"El discurso enfatiza la entrega de símbolos de valor y gloria, generando entusiasmo y satisfacción en la audiencia. La emoción de motivación aquí se expresa con un tono positivo y alentador, característico de la euforia, pues busca inspirar acción y compromiso con la causa política.",DISCURSO_048_FR_012,Partido político de Javier Milei y su base electoral,Motivación,Cognoscitiva,"El discurso se centra en la entrega simbólica de los sables, que representan principios y valores, y en la expectativa de que la base participe activamente. No se mencionan sensaciones físicas ni gestos, sino juicios y evaluaciones sobre la importancia de los símbolos y la acción futura. Por lo tanto, la motivación se manifiesta principalmente en el ámbito cognitivo.",Alta,"El discurso emplea un lenguaje simbólico y directo que busca inspirar y movilizar a la audiencia: la entrega inmediata de los sables, símbolos de los máximos principios y valores de los héroes emancipadores, genera una sensación de orgullo y urgencia. La referencia a la historia y la promesa de un acto tangible refuerza la motivación de manera intensa, lo que indica una emoción de alta intensidad.",entrega de los sables,objeto,"La entrega de los sables, símbolos materiales que representan los principios y valores de los héroes emancipadores, actúa como estímulo tangible que motiva a la base electoral a participar activamente."
euforico,"El discurso expresa orgullo, una emoción positiva que implica satisfacción y admiración por los valores y héroes emancipadores. Este tono de satisfacción y entusiasmo se alinea con la categoría eufórica, ya que el orgullo se manifiesta como una alegría y orgullo interno que motiva la entrega simbólica de los sables.",DISCURSO_048_FR_012,Partido político de Javier Milei y su base electoral,Orgullo,Cognoscitiva,"El discurso enfatiza la valoración de los principios y valores de los héroes emancipadores, lo que implica un juicio positivo y una evaluación de la identidad colectiva. No se menciona manifestaciones físicas ni sensaciones corporales, por lo que la emoción de orgullo se presenta principalmente en el dominio cognitivo.",Alta,"El discurso emplea un lenguaje simbólico y evocador al referirse a los ""sables"" como representación de los máximos principios y valores de los héroes emancipadores, lo que genera un sentimiento de orgullo fuerte y palpable en la audiencia. La connotación heroica y la promesa de entrega de símbolos de poder refuerzan la intensidad de la emoción de orgullo.",los sables,objeto,Los sables son objetos materiales que simbolizan los máximos principios y valores de los héroes emancipadores; su entrega genera orgullo en la base electoral al representar la continuidad de esos valores.
Eufórico,"La emoción identificada es anticipación, y el contexto del discurso es claramente positivo: la entrega de los sables simboliza principios y valores heroicos. La expectativa de un evento favorable genera una sensación de entusiasmo y satisfacción, lo que la coloca dentro de la categoría eufórica según las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_012,Presidente Javier Milei,anticipación,Cognoscitiva,"La emoción de anticipación se manifiesta principalmente a través de juicios y evaluaciones mentales sobre el evento próximo, sin indicios de manifestaciones corporales explícitas en el discurso. El uso de ""en instantes"" señala una expectativa mental y una valoración cognitiva del momento que se avecina, lo que indica una dominancia cognoscitiva.",Baja,"El discurso emplea el adverbio temporal ""en instantes"" sin intensificadores ni expresiones que aumenten la emoción. La referencia a la entrega de los sables se presenta de manera informativa y formal, lo que sugiere una sensación de anticipación leve y no intensamente expresada.",la entrega de los sables,situacion,"La emoción de anticipación surge porque el presidente menciona que en instantes se realizará la entrega de los sables, un evento concreto que está próximo a ocurrir."
euforico,"El discurso expresa orgullo y celebración al mencionar que los sables simbolizan los máximos principios y valores de los héroes emancipadores, lo que implica una valoración positiva y satisfacción. Esta valoración positiva y el tono de celebración corresponden a la categoría eufórica.",DISCURSO_048_FR_012,Presidente Javier Milei,orgullo,Cognoscitiva,"El discurso expresa orgullo a través de juicios y evaluaciones sobre los valores y la tradición de los héroes emancipadores, sin mencionar manifestaciones físicas o gestos. Por lo tanto, la dominancia de la emoción identificada es cognoscitiva.",Alta,"El discurso expresa un orgullo fuerte y celebratorio al mencionar que los sables, símbolos de los máximos principios y valores de los héroes emancipadores, serán entregados a los graduados. La referencia a la tradición y la exaltación de los valores nacionales indica una emoción intensamente positiva, típica de un orgullo elevado en un contexto ceremonial y simbólico.",los sables,objeto,"El orgullo se desencadena por la entrega de los sables, que simbolizan los máximos principios y valores de los héroes emancipadores, generando una valoración positiva y orgullo por la tradición y los graduados que recibirán el símbolo."
aforico,"El sentimiento de respeto se expresa de manera neutral, sin tono de alegría ni malestar, por lo que se clasifica como afórico.",DISCURSO_048_FR_012,Presidente Javier Milei,respeto,Cognoscitiva,"El sentimiento de respeto se manifiesta principalmente a través de juicios y evaluaciones sobre la importancia de los valores y la tradición militar, sin indicios de manifestaciones corporales o sensaciones físicas asociadas.",Baja,"El discurso presenta un tono formal y respetuoso sin el uso de adjetivos o verbos que intensifiquen la emoción. La frase se limita a describir la entrega simbólica de los sables y la referencia a los valores de los héroes emancipadores, sin recurrir a expresiones apasionadas o exclamaciones que indiquen una emoción fuerte. Por lo tanto, la intensidad del respeto expresado se considera baja.",los sables,objeto,"Los sables son objetos materiales que simbolizan los máximos principios y valores de los héroes emancipadores, y su entrega evoca un sentimiento de respeto hacia la institución y sus símbolos."
aforico,"La reverencia expresa un respeto y admiración solemne hacia los héroes y sus valores, lo cual es una emoción positiva pero no se caracteriza por la alegría, entusiasmo o satisfacción típica del eufórico. Tampoco presenta un tono negativo, por lo que no es disfórico. Al no mostrar una polaridad claramente positiva o negativa, se clasifica como afórico.",DISCURSO_048_FR_012,Presidente Javier Milei,reverencia,Cognoscitiva,"La reverencia expresada en el discurso se fundamenta en juicios y evaluaciones sobre los héroes emancipadores y los valores que simbolizan los sables. No se describen manifestaciones físicas o sensaciones corporales, por lo que la emoción predomina en el ámbito cognitivo.",Alta,"La expresión de reverencia se manifiesta de forma intensa al hacer referencia a los ""héroes emancipadores"" y a los ""máximos principios y valores"" que los sables simbolizan. El tono formal y la connotación histórica del discurso refuerzan la fuerza emocional, indicando una reverencia profunda y no simplemente leve o ambivalente.",los sables,objeto,"La reverencia se desencadena por los sables, objetos simbólicos que representan los máximos principios y valores de los héroes emancipadores, evocando respeto y veneración hacia esos valores históricos."
