intensidad,justificacion,recorte_id,experienciador,tipo_emocion
Alta,"El discurso emplea un lenguaje cargado de acusaciones fuertes (“dictador criminal”, “detenido por las fuerzas de seguridad”) y critica directa a la represión de Maduro, lo que indica una expresión intensa de ira. Además, la frase sugiere indignación y frustración hacia la autoridad, lo que sugiere una emoción de alta intensidad.",DISCURSO_048_FR_003,prodestinatario,ira
Alta,"El discurso presenta una fuerte exaltación de Milei como defensor de la libertad frente a un régimen opresivo, utilizando un lenguaje cargado de condena y admiración. La referencia a la detención por un delito tan trivial como visitar a su pareja y hijo, junto con la etiqueta de ""dictador criminal"", refuerza la narrativa heroica y provoca una sensación de orgullo intenso entre la audiencia. Esta combinación de lenguaje cargado y la posición heroica de Milei indica una emoción de orgullo de alta intensidad.",DISCURSO_048_FR_003,prodestinatario,orgullo
Alta,"El discurso utiliza calificativos fuertes como ""dictador criminal"" y describe una detención injusta por un delito tan mínimo como visitar a la pareja y al hijo, lo que indica una indignación intensa y claramente expresada.",DISCURSO_048_FR_003,paradestinatario,indignación
Alta,"El discurso emplea un lenguaje cargado y acusatorio, calificando a Maduro como ""dictador criminal"" y denunciando la acción de las fuerzas de seguridad. Tal tono y elección de palabras indican una expresión de ira intensa y directa, lo que sugiere una alta intensidad emocional.",DISCURSO_048_FR_003,paradestinatario,ira
Alta,"El discurso presenta una condena explícita del acto de detención por un delito tan leve como visitar a la pareja y el hijo, lo que sugiere una fuerte carga emocional y una empatía intensa hacia la víctima. La crítica directa al dictador y la descripción de la injusticia generan una respuesta emocional potente, lo que indica una intensidad alta de la emoción empatía.",DISCURSO_048_FR_003,paradestinatario,empatía
Alta,"El discurso utiliza calificativos fuertes como ""dictador criminal"" y describe una detención por un delito tan leve como visitar a la pareja y al hijo, lo que indica una expresión intensa de indignación. Además, la justificación menciona que la oposición percibe la condena como una estrategia polarizadora, lo que sugiere una reacción emocional fuerte y clara.",DISCURSO_048_FR_003,contradestinatario,indignación
Alta,"El discurso utiliza un lenguaje cargado y acusatorio (“dictador criminal”, “fuerzas de seguridad a cargo del dictador”), lo que sugiere una frustración intensa al percibir una acusación directa y negativa. Además, la naturaleza de la acusación (detención por visitar a pareja e hijo) implica una fuerte carga emocional, lo que indica una intensidad alta de la emoción identificada.",DISCURSO_048_FR_003,contradestinatario,frustración
Alta,"El discurso utiliza verbos de exigencia y urgencia como ""exigimos"" y ""inmediata"", además de la promesa de ""agotar todas las vías diplomáticas"", lo que indica una expresión fuerte y directa de indignación contra la injusticia percibida. Estos elementos lingüísticos y el contexto de demanda de liberación inmediata sugieren una emoción intensamente expresada.",DISCURSO_048_FR_004,Partido político de Javier Milei y su base electoral (prodestinatario),indignación
Alta,"El uso de verbos imperativos como ""exigimos"" y la afirmación de ""agotaremos todas las vías diplomáticas"" indican una voluntad firme y resoluta, lo que sugiere una intensidad alta de la emoción de determinación.",DISCURSO_048_FR_004,Partido político de Javier Milei y su base electoral (prodestinatario),determinación
Alta,"El discurso emplea verbos fuertes como ""exigimos"" y ""agotaremos"", adjetivos como ""inmediata"" y la promesa de devolver al secuestrado sano y salvo, lo que indica una expectativa positiva y una expresión de esperanza con fuerza y determinación.",DISCURSO_048_FR_004,Público general argentino (paradestinatario),esperanza
Alta,"El discurso emplea verbos de demanda fuerte como ""exigimos"" y adjetivos de urgencia como ""inmediata"", además de la amenaza de ""agotaremos todas las vías diplomáticas"", lo que indica una frustración intensamente expresada y con intención de presión directa.",DISCURSO_048_FR_004,Oposición política (la casta política) (contradestinatario),frustración
Alta,"El discurso muestra un reconocimiento formal y enfático a los nuevos egresados, con la expresión ""muy especialmente"" que subraya la importancia y el orgullo que el orador siente por sus logros. La atención dirigida a figuras de alto rango y la celebración de los graduados indican una expresión de orgullo fuerte y claramente visible, lo que sugiere una intensidad alta de la emoción identificada.",DISCURSO_048_FR_005,Partido político de Javier Milei y su base electoral,pride
Baja,"El discurso emplea un tono formal y respetuoso sin recurrir a adjetivos o expresiones que intensifiquen la emoción. Se limita a saludos y reconocimientos a cargos y a los nuevos egresados, sin usar exclamaciones ni palabras que aumenten la fuerza emocional. Por lo tanto, la intensidad del respeto expresado se considera baja.",DISCURSO_048_FR_005,Partido político de Javier Milei y su base electoral,respect
Baja,"El discurso presenta un saludo formal y respetuoso a diversos rangos militares sin emplear adjetivos o verbos que intensifiquen la emoción. La expresión de solidaridad se manifiesta de manera sutil y procedimental, típica de un discurso político, lo que sugiere una intensidad emocional leve.",DISCURSO_048_FR_005,Partido político de Javier Milei y su base electoral,solidarity
Alta,"El discurso muestra una expresión clara y enfática de confianza, con énfasis en la presencia de los militares y funcionarios, y el uso de la frase ""muy especialmente"" indica un tono fuerte y decidido. La intención de reforzar la confianza en el liderazgo y la seguridad nacional sugiere una intensidad alta de la emoción identificada.",DISCURSO_048_FR_005,Partido político de Javier Milei y su base electoral,confidence
Alta,"El discurso emplea un tono formal y de reconocimiento, con expresiones como ""muy especialmente"" que enfatizan la importancia del saludo. La presencia de un saludo directo a autoridades militares y a los nuevos egresados, junto con la mención de la presencia del poder ejecutivo, sugiere una expresión de respeto fuerte y deliberada, lo que indica una intensidad alta de la emoción identificada.",DISCURSO_048_FR_005,Público general argentino,respect
Baja,"El discurso presenta un tono formal y respetuoso al saludar a los funcionarios y, especialmente, a los nuevos egresados de las fuerzas armadas. No se utilizan adjetivos o expresiones que indiquen una exaltación extrema de la admiración; la mención de ""muy especialmente"" sugiere un énfasis moderado pero no intenso. Por lo tanto, la intensidad de la emoción de admiración se infiere como baja.",DISCURSO_048_FR_005,Público general argentino,admiration
Baja,"El discurso presenta un tono formal y respetuoso sin usar adjetivos, adverbios ni verbos que indiquen una duda o desconfianza explícita. No se emplean expresiones que intensifiquen la sospecha, como ""no estoy seguro"", ""tengo reservas"" o similares. En consecuencia, la emoción de escepticismo se infiere de manera indirecta y su intensidad se considera baja, ya que el texto no la expresa con fuerza ni con matices que sugieran un grado elevado de duda.",DISCURSO_048_FR_005,Oposición política (la casta política),skepticism
Baja,"El discurso presenta un tono formal y respetuoso, sin expresiones de ira o indignación explícitas. La emoción de resentimiento se infiere de la posición política y la percepción de favoritismo hacia las fuerzas armadas, pero no se manifiesta con fuerza ni intensidad en el lenguaje utilizado. Por lo tanto, la intensidad del resentimiento se considera baja.",DISCURSO_048_FR_005,Oposición política (la casta política),resentment
Baja,"El discurso expresa gratitud de manera cortés y formal, sin usar adverbios intensificadores ni exclamaciones que aumenten la fuerza emocional. La frase ""también a todos aquellos que han venido a acompañarlos en esta inolvidable jornada"" reconoce la presencia de los asistentes, pero lo hace de forma moderada y típica de un discurso político, lo que sugiere una emoción de gratitud leve o sutil.",DISCURSO_048_FR_006,Partido político de Javier Milei y su base electoral,gratitud
Baja,"El discurso expresa gratitud de manera cortés y general, sin énfasis emocional fuerte ni adverbios intensificadores. La frase reconoce la presencia de los asistentes de forma amable, lo que sugiere una emoción leve o sutil.",DISCURSO_048_FR_006,Público general argentino,gratitud
Alta,"El discurso utiliza la expresión ""es un honor"", una frase que denota un orgullo fuerte y explícito. Además, el contexto de que el hablante es presidente y comandante en jefe de las fuerzas armadas amplifica la importancia y la intensidad de la emoción de orgullo que se transmite a la audiencia.",DISCURSO_048_FR_007,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),pride
Alta,"La expresión ""es un honor para mí"" indica una valoración positiva y fuerte del acto de participar en la ceremonia, reflejando un sentimiento de admiración y respeto que se percibe como intensamente expresado. Además, el contexto de un presidente y comandante en jefe enfatiza la importancia y el compromiso, lo que sugiere una alta intensidad emocional.",DISCURSO_048_FR_007,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),admiration
Neutra/Ambivalente,"El discurso presenta un tono formal y cortés sin adverbios ni expresiones que intensifiquen la emoción de respeto. La frase ""es un honor para mí"" indica una valoración positiva y respetuosa, pero no se emplean intensificadores ni un lenguaje cargado que sugiera una emoción particularmente fuerte. Por lo tanto, la intensidad percibida se ubica en un nivel neutro o ambivalente, típico de expresiones de respeto en contextos ceremoniales.",DISCURSO_048_FR_007,Público general argentino (tipo: paradestinatario),respect
Alta,"El discurso utiliza expresiones fuertes como ""es un honor"" y la referencia a la posición de presidente y comandante en jefe, lo que indica una declaración de orgullo y respeto que busca inspirar al público. La combinación de un tono formal, la importancia del evento y la intención de motivar a la audiencia sugiere una emoción de alta intensidad.",DISCURSO_048_FR_007,Público general argentino (tipo: paradestinatario),inspiration
Baja,"El discurso no contiene adverbios, verbos ni adjetivos que intensifiquen la sensación de amenaza; la amenaza percibida es implícita y se basa en la posición de poder del presidente, lo que sugiere una intensidad leve en la emoción de amenaza.",DISCURSO_048_FR_007,Oposición política (la casta política) (tipo: contradestinatario),threat
Baja,"El discurso del presidente no expresa directamente la emoción de resentimiento; la frase es formal y neutra, y la percepción de resentimiento por parte de la oposición surge de la interpretación del alineamiento militar, lo que sugiere una intensidad leve o sutil de la emoción.",DISCURSO_048_FR_007,Oposición política (la casta política) (tipo: contradestinatario),resentment
Neutra/Ambivalente,"El fragmento ""voy a dirigirme ahora particularmente a los graduados"" no contiene adjetivos, adverbios ni verbos que intensifiquen la emoción de orgullo. Se trata de una declaración directa y neutral que reconoce a los graduados sin enfatizar excesivamente la emoción. En ausencia de indicios de fuerza emocional, la intensidad se interpreta como neutra o ambivalente.",DISCURSO_048_FR_008,Partido político de Javier Milei y su base electoral (prodestinatario),orgullo
Baja,"El anuncio de que el presidente se dirigirá a los graduados genera una expectativa, pero la frase en sí no contiene adjetivos, adverbios ni verbos que intensifiquen la emoción. Se trata de una anticipación leve y directa, sin indicios de intensidad emocional elevada.",DISCURSO_048_FR_008,Público general argentino (paradestinatario),anticipación
Baja,"El discurso no contiene adverbios o verbos que intensifiquen la indignación; la emoción se describe como ""potencial"" ante la percepción de una maniobra política. En ausencia de expresiones fuertes, la indignación se interpreta como leve o subyacente, lo que sugiere una intensidad baja.",DISCURSO_048_FR_008,Oposición política (la casta política) (contradestinatario),indignación
Alta,"El discurso utiliza un lenguaje directo y enfático al felicitar a los graduados, con expresiones como ""más sinceras felicitaciones"" que indican un reconocimiento fuerte y positivo. La frase celebra el logro de los participantes y refuerza la identidad y valores del partido, lo que genera un sentimiento de orgullo intenso tanto en los miembros como en la base electoral.",DISCURSO_048_FR_009,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),orgullo
Alta,"El discurso utiliza expresiones fuertes y formales como ""mis más sinceras felicitaciones"", lo que indica una celebración intensa del logro de los graduados. La naturaleza del evento (finalización de la formación básica para el servicio a la patria) y el reconocimiento público generan un sentimiento de orgullo elevado, por lo que la intensidad se clasifica como alta.",DISCURSO_048_FR_009,Público general argentino (tipo: paradestinatario),orgullo
Baja,"La frase presenta la culminación y el inicio de la vida profesional de los graduados de manera factual y sin adjetivos o verbos que intensifiquen la emoción. No se utilizan expresiones de euforia, exaltación o entusiasmo que caracterizarían un orgullo de alta intensidad. Por lo tanto, la emoción de orgullo se infiere como leve o sutil en este contexto.",DISCURSO_048_FR_010,Partido político de Javier Milei y su base electoral,orgullo
Baja,"El discurso menciona la expectativa de que la nueva generación cumplirá con los ideales del partido, pero no utiliza adjetivos intensos ni expresiones de euforia. La referencia a demandas permanentes sugiere una expectativa moderada, por lo que la intensidad de la emoción esperanza se interpreta como baja.",DISCURSO_048_FR_010,Partido político de Javier Milei y su base electoral,esperanza
Alta,"El discurso celebra el culminar de la formación militar y el inicio de una carrera de defensa nacional, un hito significativo que suele generar un sentimiento de orgullo fuerte entre el público general argentino. La referencia a la exigencia permanente y la responsabilidad que implica la vida profesional refuerza la percepción de un logro importante, lo que sugiere una intensidad alta de la emoción de orgullo.",DISCURSO_048_FR_010,Público general argentino,orgullo
Alta,"El discurso menciona la culminación de la vida estudiantil y el inicio de la vida profesional con la exigencia permanente, lo que implica un llamado fuerte a la disciplina y el compromiso. El uso de verbos como ""exigirá"" y el contexto de una ceremonia de graduación generan una motivación intensa, caracterizando la emoción de inspiración como de alta intensidad.",DISCURSO_048_FR_010,Público general argentino,inspiración
Alta,"El discurso critica a la casta política y llama a la responsabilidad, generando una sensación de presión constante y posible pérdida de influencia. La frase ""se les exigirá permanentemente"" sugiere una expectativa continua que puede provocar ansiedad intensa en la oposición. En este contexto, la emoción de ansiedad se percibe como fuerte y sostenida, lo que justifica la clasificación de alta intensidad.",DISCURSO_048_FR_010,Oposición política (la casta política),ansiedad
Neutra/Ambivalente,"El fragmento citado no contiene adjetivos, adverbios ni verbos que intensifiquen la emoción de resentimiento; la frase es descriptiva y neutral en cuanto a tono. Sin embargo, el contexto del discurso—restaurar el respeto a las Fuerzas Armadas y criticar a la casta política—puede generar resentimiento en la oposición, pero la expresión directa de esa emoción no es evidente en el texto. Por lo tanto, la intensidad inferida es neutra o ambivalente.",DISCURSO_048_FR_010,Oposición política (la casta política),resentimiento
Alta,"El discurso celebra el logro de los graduados y su continuo aprendizaje, con un tono de celebración y reconocimiento que suele asociarse a un orgullo fuerte. La frase destaca la culminación de una etapa y el inicio de otra, reforzando la idea de éxito y progreso, lo que indica una intensidad alta de orgullo.",DISCURSO_048_FR_011,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),orgullo
Baja,"El discurso expresa una visión positiva y esperanzadora sobre el futuro, pero lo hace de manera moderada y sin un énfasis emocional extremo. La referencia a una nueva etapa de aprendizaje y a las enseñanzas que acompañarán a las personas sugiere optimismo, pero la expresión no incluye adverbios ni verbos intensos que indiquen una emoción muy fuerte. Por lo tanto, la intensidad se considera baja.",DISCURSO_048_FR_011,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),esperanza
Neutra/Ambivalente,"El discurso expresa una visión optimista al afirmar que las enseñanzas acompañarán el resto de las vidas, pero lo hace de manera moderada y sin un tono de euforia o entusiasmo extremo. La expresión es esperanzadora y positiva, pero no intensamente apasionada, lo que sugiere una intensidad neutral o ambivalente.",DISCURSO_048_FR_011,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),optimismo
Alta,"El discurso enfatiza la continuidad del aprendizaje con frases como ""nunca dejarán de aprender"" y ""las enseñanzas los acompañarán el resto de sus vidas"", lo que sugiere un llamado motivacional fuerte y persuasivo destinado a inspirar y mantener el compromiso de la base electoral.",DISCURSO_048_FR_011,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),motivación
Alta,"El discurso enfatiza la continuidad del aprendizaje y el impacto duradero de las enseñanzas, elementos típicos de una inspiración fuerte y motivadora, lo que sugiere una intensidad alta.",DISCURSO_048_FR_011,Público general argentino (tipo: paradestinatario),inspiración
Alta,"El discurso enfatiza el inicio de una nueva etapa de aprendizaje que se presenta como continua y permanente, con la promesa de que las enseñanzas acompañarán al resto de las vidas. Este mensaje de progreso y crecimiento futuro genera una sensación de esperanza fuerte y sostenida, lo que indica una intensidad alta de la emoción.",DISCURSO_048_FR_011,Público general argentino (tipo: paradestinatario),esperanza
Baja,"El discurso expresa optimismo de manera moderada, sin usar adjetivos o verbos intensamente cargados. La frase indica una visión esperanzadora y positiva sobre el futuro de los graduados, pero la expresión es suave y no exagerada, lo que sugiere una intensidad baja de la emoción.",DISCURSO_048_FR_011,Público general argentino (tipo: paradestinatario),optimismo
Alta,"El discurso celebra el logro de los graduados, un momento típicamente cargado de orgullo intenso. Aunque la frase en sí es reflexiva y no contiene adverbios o verbos que intensifiquen la emoción, el contexto general de una ceremonia de graduación y la referencia a un logro significativo implican una expresión de orgullo fuerte y celebratoria.",DISCURSO_048_FR_011,Público general argentino (tipo: paradestinatario),orgullo
Alta,"El discurso emplea un lenguaje simbólico y evocador al referirse a los ""sables"" como representación de los máximos principios y valores de los héroes emancipadores, lo que genera un sentimiento de orgullo fuerte y palpable en la audiencia. La connotación heroica y la promesa de entrega de símbolos de poder refuerzan la intensidad de la emoción de orgullo.",DISCURSO_048_FR_012,Partido político de Javier Milei y su base electoral,Orgullo
Alta,"El discurso emplea símbolos poderosos (los sables) y referencias a héroes emancipadores y principios máximos, lo que sugiere una intención de motivar y elevar el ánimo de la audiencia. La combinación de metáforas históricas y la promesa de entrega de símbolos de valor indica una expresión de inspiración con fuerza y convicción, típica de un tono de alta intensidad.",DISCURSO_048_FR_012,Partido político de Javier Milei y su base electoral,Inspiración
Alta,"El discurso emplea un lenguaje simbólico y directo que busca inspirar y movilizar a la audiencia: la entrega inmediata de los sables, símbolos de los máximos principios y valores de los héroes emancipadores, genera una sensación de orgullo y urgencia. La referencia a la historia y la promesa de un acto tangible refuerza la motivación de manera intensa, lo que indica una emoción de alta intensidad.",DISCURSO_048_FR_012,Partido político de Javier Milei y su base electoral,Motivación
Alta,"El discurso celebra la entrega de sables que simbolizan los máximos principios y valores de los héroes emancipadores, un acto cargado de significado histórico y nacional. La referencia a la tradición militar argentina y la exaltación de los valores heroicos generan un sentimiento de orgullo intenso y colectivo, lo que indica una intensidad alta de la emoción.",DISCURSO_048_FR_012,Público general argentino,Orgullo
Alta,"La frase hace referencia directa a los héroes emancipadores y a la entrega simbólica de sables que representan los máximos principios y valores del país, elementos cargados de significado histórico y nacional. Este tipo de discurso, especialmente dirigido al público general argentino, suele generar una respuesta emocional fuerte y colectiva, típica de un patriotismo intenso. La ausencia de matices que atenuen la emoción y la naturaleza ceremonial del acto refuerzan la percepción de alta intensidad.",DISCURSO_048_FR_012,Público general argentino,Patriotismo
Alta,"El discurso emplea un lenguaje simbólico y ceremonial—la entrega de sables que representan los máximos principios y valores de héroes emancipadores—lo cual suele generar una respuesta emocional intensa y motivadora. La referencia a la historia y a la identidad nacional, junto con la acción concreta de entregar los símbolos, sugiere una inspiración fuerte y palpable para el público.",DISCURSO_048_FR_012,Público general argentino,Inspiración
Alta,"El discurso emplea un lenguaje simbólico y exaltador (""sables"" que representan los máximos principios y valores de los héroes emancipadores) y critica directamente a la casta política, lo que suele generar una reacción de indignación fuerte en la oposición. La combinación de la exaltación militar con la exclusión percibida produce una emoción intensamente expresada, por lo que se infiere una intensidad alta.",DISCURSO_048_FR_012,Oposición política (la casta política),Indignación
Baja,"El discurso presenta una declaración formal y simbólica sin uso de adjetivos o adverbios intensos que indiquen una fuerte carga emocional. La expresión de resentimiento se percibe de manera sutil, reflejada en la crítica implícita a la oposición política, lo que sugiere una intensidad baja.",DISCURSO_048_FR_012,Oposición política (la casta política),Resentimiento
Alta,"El discurso emplea un tono de amenaza simbólica y exaltación militar que implica una crítica directa y despectiva hacia la oposición política. La referencia a la entrega de sables como símbolo de principios y valores de héroes emancipadores sugiere una postura de superioridad y desprecio, lo que indica una expresión intensa de la emoción de desprecio.",DISCURSO_048_FR_012,Oposición política (la casta política),Desprecio
Alta,"El discurso celebra el símbolo del mando como emblema de orden, valor y gloria, valores centrales de la ideología del partido. La afirmación de que este símbolo acompañará a los seguidores durante toda su carrera militar sugiere una exaltación y un reconocimiento de la importancia del mismo, lo que genera un sentimiento de orgullo fuerte y claramente expresado. Por lo tanto, la intensidad de la emoción identificada (orgullo) se infiere como alta.",DISCURSO_048_FR_013,Partido político de Javier Milei y su base electoral,orgullo
Baja,"El enunciado describe de manera neutral y sin intensificadores el símbolo del mando que acompaña a los oficiales a lo largo de su carrera militar. No se emplean adjetivos o adverbios que aumenten la carga emotiva, por lo que la emoción de respeto que se evoca es leve y sutil, lo que indica una intensidad baja.",DISCURSO_048_FR_013,Público general argentino,respeto
Alta,"El discurso, aunque la frase en sí no contiene adverbios o adjetivos que intensifiquen la emoción, se enmarca en un contexto de crítica directa a la casta política y de reivindicación de la autoridad militar. La indignación dirigida a la política suele manifestarse con fuerza y se interpreta como una emoción de alta intensidad cuando se expresa en un discurso público de carácter confrontativo. Por lo tanto, la intensidad de la indignación se considera alta.",DISCURSO_048_FR_013,Oposición política (la casta política),indignación
Alta,"El discurso utiliza un lenguaje de compromiso y servicio a la nación, enfatizando la toma de juramento de fidelidad a la Constitución. Este llamado a la lealtad y al servicio público genera un sentimiento de orgullo fuerte y colectivo, típico de discursos políticos que buscan reforzar la identidad partidaria y la conexión con valores nacionales. La presencia de verbos de compromiso y la referencia a una vida entera de servicio indican una expresión intensa de orgullo.",DISCURSO_048_FR_014,Partido político de Javier Milei y su base electoral,orgullo
Alta,"El discurso presenta una promesa de compromiso de por vida con la nación, lo que sugiere una visión de estabilidad y progreso futuro. La expresión de un juramento de fidelidad a la constitución nacional implica un llamado emocional fuerte y directo, generando una sensación de esperanza intensa y motivadora.",DISCURSO_048_FR_014,Partido político de Javier Milei y su base electoral,esperanza
Alta,"El discurso utiliza verbos fuertes como ""tomará"" y ""comprometerá"", además de la referencia a una ""vida entera de servicio a la nación"", lo que indica un llamado intenso y apasionado a la fidelidad y al compromiso. La naturaleza solemne del juramento y la implicación de un compromiso permanente refuerzan la intensidad motivacional del mensaje.",DISCURSO_048_FR_014,Partido político de Javier Milei y su base electoral,motivación
Alta,"El discurso menciona un juramento de fidelidad a la Constitución y un compromiso de vida entera de servicio a la nación, expresiones que implican un llamado fuerte y solemne a la lealtad y al patriotismo, lo que sugiere una intensidad alta de la emoción.",DISCURSO_048_FR_014,Público general argentino,patriotismo
Alta,"El discurso menciona un juramento de fidelidad a la Constitución y un compromiso de vida entera de servicio a la nación, elementos que suelen generar un sentimiento de orgullo fuerte y arraigado en la población. La formalidad de la ceremonia y la referencia a la fortaleza institucional refuerzan la intensidad de la emoción, lo que lleva a clasificarla como alta.",DISCURSO_048_FR_014,Público general argentino,orgullo
Alta,"El juramento de fidelidad a la constitución nacional y el compromiso de una vida entera de servicio a la nación transmiten una promesa de futuro sólido y positivo, lo que genera una sensación de esperanza fuerte y sostenida en el público. La formalidad y el carácter solemne del acto refuerzan la intensidad de la emoción esperanzadora.",DISCURSO_048_FR_014,Público general argentino,esperanza
Baja,"El fragmento presenta un tono formal y descriptivo sin adjetivos ni adverbios que intensifiquen la emoción. La crítica implícita a la casta política sugiere un resentimiento leve, ya que el discurso se centra más en la obligación de jurar fidelidad que en expresar indignación explícita. Por lo tanto, la intensidad de la emoción identificada se considera baja.",DISCURSO_048_FR_014,Oposición política (la casta política),resentimiento
Alta,"El discurso utiliza un lenguaje imperativo y vinculante (“se les tomará juramento de fidelidad”) que implica una obligación coercitiva y una amenaza directa a la autonomía política de la oposición. La referencia a una “vida entera de servicio” refuerza la gravedad y la permanencia de la amenaza, lo que indica una emoción intensamente expresada.",DISCURSO_048_FR_014,Oposición política (la casta política),amenaza
Alta,"El discurso utiliza un lenguaje imperativo y evocador, invitando a los oyentes a recordar y fijar en su memoria valores fundamentales como orden, valor y gloria. La repetición de conceptos heroicos y la exhortación a grabar estos preceptos en la memoria generan una sensación de orgullo fuerte y colectivo, típica de un discurso político que busca inspirar y movilizar a su base. Por lo tanto, la intensidad de la emoción identificada (orgullo) se infiere como alta.",DISCURSO_048_FR_015,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),orgullo
Alta,"El discurso utiliza imperativos fuertes (“recuerden bien”, “graben”) y apela a valores trascendentales (orden, valor, gloria), lo que sugiere una exhortación intensa y motivadora, típica de una emoción inspiradora de alta intensidad.",DISCURSO_048_FR_015,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),inspiración
Alta,"El discurso utiliza imperativos fuertes (“recuerden bien”, “graben”) y apela a valores trascendentales (“orden, valor y gloria”), generando una exhortación apasionada y directa que sugiere una motivación intensa y vigorosa.",DISCURSO_048_FR_015,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),motivación
Alta,"El discurso utiliza imperativos fuertes (“recuerden bien”, “graben en su memoria”) y menciona valores nacionales de orden, valor y gloria, lo que sugiere una expresión intensa de orgullo. Además, el contexto de una celebración nacional y la exhortación a memorizar los preceptos refuerza la intensidad emocional, clasificándola como alta.",DISCURSO_048_FR_015,Público general argentino (tipo: paradestinatario),orgullo
Alta,"El discurso emplea imperativos fuertes como ""recuerden bien"" y ""graben en su memoria"", junto con la evocación de valores trascendentales (orden, valor y gloria). Esta combinación de lenguaje directo, llamado a la acción y referencia a principios elevados sugiere una expresión de inspiración con alta intensidad emocional.",DISCURSO_048_FR_015,Público general argentino (tipo: paradestinatario),inspiración
Alta,"El discurso emplea imperativos fuertes como ""recuerden bien"" y ""graben en su memoria"", junto con referencias simbólicas a vitrales y preceptos militares, lo que genera un tono de asombro intenso y evocador.",DISCURSO_048_FR_015,Público general argentino (tipo: paradestinatario),asombro
Alta,"El discurso utiliza imperativos fuertes (“recuerden bien”, “graben en su memoria”) y una retórica que subraya valores de orden, valor y gloria, lo cual intensifica la indignación frente a la reafirmación del Estado y las fuerzas armadas. En el contexto político de oposición, la emoción se percibe como intensa y directa, lo que lleva a clasificarla como alta.",DISCURSO_048_FR_015,Oposición política (la casta política) (tipo: contradestinatario),indignación
Alta,"El discurso dirige una llamada de memoria y valores a la audiencia sin incluir a la oposición, generando una sensación de exclusión y afrontamiento que suele provocar un resentimiento intenso. Además, la naturaleza política y la falta de reconocimiento de la oposición refuerzan la intensidad de la emoción.",DISCURSO_048_FR_015,Oposición política (la casta política) (tipo: contradestinatario),resentimiento
Alta,"El discurso utiliza un lenguaje cargado de valores patrióticos y de liderazgo, calificando a los graduados como ""el norte"" para una vida al servicio de la patria. La metáfora del norte y la referencia a la patria evocan una fuerte identificación y orgullo, lo que indica una expresión intensa de la emoción de orgullo.",DISCURSO_048_FR_016,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),orgullo
Alta,"El discurso utiliza la metáfora potente de ""el norte"" para posicionar a los oficiales como guía esencial, evocando un llamado claro y apasionado a la vida al servicio de la patria. La frase emplea un lenguaje inspirador y directo que busca movilizar y comprometer a la audiencia, lo que indica una expresión emocional de alta intensidad.",DISCURSO_048_FR_016,Partido político de Javier Milei y su base electoral (tipo: prodestinatario),motivación
Alta,"El discurso utiliza un lenguaje metafórico potente (“el norte”) y una referencia directa al servicio de la patria, elementos que suelen generar un sentimiento de orgullo fuerte y palpable en el público general argentino. La ausencia de matices que atenuen la emoción refuerza la intensidad alta del orgullo expresado.",DISCURSO_048_FR_016,Público general argentino (tipo: paradestinatario),orgullo
Alta,"El discurso utiliza un lenguaje fuerte y evocador, empleando la metáfora del ""norte"" como guía y el llamado a una vida ""al servicio de la patria"". Estas expresiones son típicamente intensas y buscan motivar de manera directa y apasionada al público, lo que indica una emoción de inspiración de alta intensidad.",DISCURSO_048_FR_016,Público general argentino (tipo: paradestinatario),inspiración
Alta,"El discurso de la oposición percibe la exaltación militar como una crítica directa a la casta política, lo que genera una reacción de indignación intensa. La naturaleza política y la acusación de polarización implican una respuesta emocional fuerte, por lo que la intensidad se clasifica como alta.",DISCURSO_048_FR_016,Oposición política (la casta política) (tipo: contradestinatario),indignación
Baja,"El fragmento ""son el norte para una vida al servicio de la patria"" no contiene adjetivos, adverbios ni verbos que intensifiquen la sensación de miedo; la expresión es más bien descriptiva y de carácter valorativo. En el contexto del discurso, la oposición percibe una amenaza, pero la manifestación de ese temor no es explícita ni fuerte, lo que sugiere una intensidad baja del miedo.",DISCURSO_048_FR_016,Oposición política (la casta política) (tipo: contradestinatario),miedo
Alta,"El discurso expresa una confianza firme y sin reservas, con frases como ""no tengo duda"" y la afirmación de que ""todos los argentinos de bien"" se sentirán orgullosos. Estas expresiones indican una emoción de orgullo de alta intensidad, ya que el hablante proyecta una expectativa fuerte y positiva sobre el futuro del grupo.",DISCURSO_048_FR_017,Partido político de Javier Milei y su base electoral,orgullo
Alta,"El hablante expresa una confianza firme y optimista al afirmar que no tiene duda de que los graduados lograrán que todos los argentinos de bien estén orgullosos de ellos. El uso de expresiones como ""no tengo duda"" y la expectativa de un resultado positivo indican una emoción de esperanza con alta intensidad.",DISCURSO_048_FR_017,Partido político de Javier Milei y su base electoral,esperanza
